transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
6253,74.11,4,Electronics,0,0,88,1,56,0
4685,268.9,12,Grocery,0,1,45,1,29,0
1732,176.02,5,Travel,0,0,60,2,37,0
4743,6.52,14,Clothing,0,0,73,2,42,0
4522,154.92,3,Clothing,0,0,26,3,21,0
6341,51.17,13,Food,0,1,75,2,42,0
577,28.63,2,Travel,0,0,84,4,33,0
5203,185.29,23,Clothing,0,0,95,2,62,0
6364,114.21,13,Clothing,0,0,52,2,22,0
440,15.27,22,Clothing,0,0,66,2,25,0
2751,88.43,7,Travel,0,0,43,1,27,0
7488,585.89,6,Clothing,0,0,53,2,46,0
5273,63.65,13,Electronics,1,0,71,1,29,0
5654,78.23,5,Clothing,0,0,29,4,22,0
4000,31.68,20,Grocery,0,1,47,3,49,0
6034,47.91,7,Clothing,0,0,47,3,28,0
583,122.13,1,Travel,0,1,28,1,35,1
9931,311.92,10,Travel,1,0,26,1,36,0
7052,134.86,11,Clothing,1,0,83,1,50,0
8159,92.64,16,Grocery,0,0,38,0,23,0
9897,227.7,16,Grocery,0,0,34,1,59,0
2250,21.98,19,Food,0,0,41,2,47,0
4641,524.55,19,Travel,0,0,79,1,56,0
9486,175.95,22,Grocery,0,0,99,3,35,0
4948,243.6,10,Grocery,0,0,39,2,32,0
9921,58.59,9,Food,0,0,60,4,18,0
1964,87.16,8,Clothing,0,0,50,2,43,0
8244,95.51,18,Electronics,0,0,83,2,43,0
6591,108.91,20,Travel,0,0,52,2,34,0
8848,192.71,3,Food,0,0,68,4,20,0
322,225.69,15,Grocery,0,0,97,2,66,0
2679,21.28,20,Travel,0,0,77,4,48,0
4626,206.53,10,Food,0,0,58,3,34,0
4950,335.63,17,Food,0,0,54,2,38,0
8329,359.42,22,Electronics,0,0,85,2,23,0
3338,255.92,19,Grocery,1,0,28,4,59,0
5590,184.44,4,Travel,0,0,85,0,66,0
252,87.53,15,Electronics,0,0,87,0,39,0
3974,222.47,10,Clothing,0,1,75,2,55,0
6631,95.59,10,Grocery,0,0,38,3,66,0
